date_measured,temperature
2022-06-03 21:38:51+09,30.4375
2022-06-03 21:43:51+09,31.1875
2022-06-03 21:48:51+09,31.5
2022-06-03 21:53:51+09,31.6875
2022-06-03 21:58:51+09,31.875
2022-06-03 22:03:51+09,32.1875
2022-06-03 22:08:51+09,32.4375
2022-06-03 22:13:51+09,32.0625
2022-06-03 22:18:51+09,32.0625
2022-06-03 22:23:51+09,32.0625
2022-06-03 22:28:51+09,32
2022-06-03 22:33:51+09,32.5
2022-06-03 22:38:52+09,32.5
2022-06-03 22:43:52+09,32.875
2022-06-03 22:48:52+09,32.4375
2022-06-03 22:53:52+09,32.5625
2022-06-03 22:58:52+09,32.375
2022-06-03 23:03:52+09,32.125
2022-06-03 23:08:52+09,33
2022-06-03 23:13:52+09,33.0625
2022-06-03 23:18:52+09,33
2022-06-03 23:23:52+09,32.3125
2022-06-03 23:28:52+09,32.0625
2022-06-03 23:33:52+09,32.375
2022-06-03 23:38:52+09,32.3125
2022-06-03 23:43:52+09,32.375
2022-06-03 23:48:52+09,32.6875
2022-06-03 23:53:52+09,32.5625
2022-06-03 23:58:52+09,31.9375
2022-06-04 00:03:52+09,32.6875
2022-06-04 00:08:52+09,32.0625
2022-06-04 00:13:52+09,33.0625
2022-06-04 00:18:52+09,33.125
2022-06-04 00:23:52+09,32.1875
2022-06-04 00:28:52+09,32.625
2022-06-04 00:33:52+09,33.5
2022-06-04 00:38:52+09,33.5625
2022-06-04 00:43:52+09,34
2022-06-04 00:48:52+09,34.4375
2022-06-04 00:53:52+09,35
2022-06-04 00:58:52+09,35.1875
2022-06-04 01:03:52+09,35.3125
2022-06-04 01:08:52+09,35.3125
2022-06-04 01:13:52+09,35.375
2022-06-04 01:18:52+09,35.4375
2022-06-04 01:23:52+09,35.4375
2022-06-04 01:28:52+09,35.375
2022-06-04 01:33:52+09,33.5625
2022-06-04 01:38:52+09,33.25
2022-06-04 01:43:52+09,33.0625
2022-06-04 01:48:52+09,32.8125
2022-06-04 01:53:52+09,32.75
2022-06-04 01:58:52+09,33.0625
2022-06-04 02:03:52+09,33.8125
2022-06-04 02:08:52+09,34.125
2022-06-04 02:13:52+09,34.4375
2022-06-04 02:18:52+09,34.5625
2022-06-04 02:23:52+09,34.6875
2022-06-04 02:28:52+09,34.5625
2022-06-04 02:33:52+09,33.875
2022-06-04 02:38:52+09,33.6875
2022-06-04 02:43:52+09,32.8125
2022-06-04 02:48:52+09,32.625
2022-06-04 02:53:52+09,32.625
2022-06-04 02:58:52+09,32.75
2022-06-04 03:03:52+09,32.8125
2022-06-04 03:08:52+09,32.875
2022-06-04 03:13:52+09,32.6875
2022-06-04 03:18:52+09,32.5
2022-06-04 03:23:52+09,32.3125
2022-06-04 03:28:52+09,32.1875
2022-06-04 03:33:52+09,32.0625
2022-06-04 03:38:52+09,32
2022-06-04 03:43:52+09,31.875
2022-06-04 03:48:52+09,31.8125
2022-06-04 03:53:52+09,31.8125
2022-06-04 03:58:52+09,32.125
2022-06-04 04:03:52+09,31.875
2022-06-04 04:08:52+09,33.0625
2022-06-04 04:13:52+09,32.875
2022-06-04 04:18:52+09,33.5625
2022-06-04 04:23:52+09,33.75
2022-06-04 04:28:52+09,34.0625
2022-06-04 04:33:52+09,34.0625
2022-06-04 04:38:52+09,34.0625
2022-06-04 04:43:52+09,34.1875
2022-06-04 04:48:52+09,34.125
2022-06-04 04:53:52+09,32.8125
2022-06-04 04:58:52+09,34.125
2022-06-04 05:03:52+09,34.25
2022-06-04 05:08:52+09,34.625
2022-06-04 05:13:52+09,34.5
2022-06-04 05:18:52+09,34.4375
2022-06-04 05:23:52+09,34.375
2022-06-04 05:28:52+09,34.375
2022-06-04 05:33:52+09,34.5625
2022-06-04 05:38:52+09,34.625
2022-06-04 05:43:52+09,34.6875
2022-06-04 05:48:52+09,34.4375
2022-06-04 05:53:52+09,34.75
2022-06-04 05:58:52+09,34.9375
2022-06-04 06:03:52+09,35
2022-06-04 06:08:52+09,35.0625
2022-06-04 06:13:52+09,33.25
2022-06-04 06:18:52+09,33.3125
2022-06-04 06:23:52+09,32.1875
2022-06-04 06:28:52+09,32.6875
2022-06-04 06:33:52+09,32.0625
2022-06-04 06:38:52+09,32.5625
2022-06-04 06:43:52+09,33.8125
2022-06-04 06:48:52+09,33.4375
2022-06-04 06:53:52+09,33.4375
2022-06-04 06:58:52+09,34.125
2022-06-04 07:03:52+09,34.0625
2022-06-04 07:08:52+09,34.25
2022-06-04 07:13:52+09,34.5
2022-06-04 07:18:52+09,34.625
2022-06-04 07:23:52+09,35
2022-06-04 07:28:52+09,34.75
2022-06-04 07:33:52+09,34.8125
2022-06-04 07:38:52+09,34.1875
2022-06-04 07:43:52+09,34.0625
2022-06-04 07:48:52+09,34.75
2022-06-04 07:53:52+09,35
2022-06-04 07:58:52+09,34.8125
2022-06-04 08:03:52+09,34.0625
2022-06-04 08:08:52+09,33.4375
2022-06-04 08:13:53+09,34.0625
2022-06-04 08:18:53+09,34.5625
2022-06-04 08:23:53+09,34.6875
2022-06-04 08:28:53+09,34.875
2022-06-04 08:33:53+09,34.9375
2022-06-04 08:38:53+09,35.25
2022-06-04 08:43:53+09,35.25
2022-06-04 08:48:53+09,35.375
2022-06-04 08:53:53+09,35.4375
2022-06-04 08:58:53+09,34.9375
2022-06-04 09:03:53+09,34.5625
2022-06-04 09:08:53+09,34.375
2022-06-04 09:13:53+09,34.9375
2022-06-04 09:18:53+09,35.25
2022-06-04 09:23:53+09,35
2022-06-04 09:28:53+09,35.25
2022-06-04 09:33:53+09,35.3125
2022-06-04 09:38:53+09,35
2022-06-04 09:43:53+09,35.0625
2022-06-04 09:48:53+09,34.5
2022-06-04 09:53:53+09,34.1875
2022-06-04 09:58:53+09,35.125
2022-06-04 10:03:53+09,35.5
2022-06-04 10:08:53+09,35.6875
2022-06-04 10:13:53+09,35.75
2022-06-04 10:18:53+09,33.5625
2022-06-04 10:23:53+09,33.125
2022-06-04 10:28:53+09,32.3125
2022-06-04 10:33:53+09,31.8125
2022-06-04 10:38:53+09,32.4375
2022-06-04 10:43:53+09,32.1875
2022-06-04 10:48:53+09,31.875
2022-06-04 10:53:53+09,32.25
2022-06-04 10:58:53+09,32.4375
